index,课程名,课头号,教师,score,time
1,操作系统,20202021645,陈珉,5.5,,
2,操作系统,20202021647,宋伟,5.5,,
3,操作系统,20202021646,曾平,5.5,,
4,操作系统,20202021648,李蓉蓉,5.5,,
5,操作系统,20202021649,蒋晶珏,5.5,,
6,操作系统,20202021692,郑鹏,5.5,,
7,操作系统,20202021767,郑鹏,5.5,,
8,操作系统,20202021768,宋伟,5.5,,
9,操作系统,20202021770,蒋晶珏,5.5,,
10,操作系统,20202021769,李蓉蓉,5.5,,
11,操作系统,20202021819,曾平,5.5,,
12,操作系统,20202021797,孔若杉,5.5,,
13,操作系统课程设计,20202021748,宋伟,5.5,,
14,操作系统课程设计,20202021747,蒋晶珏,5.5,,
15,操作系统课程设计,20202021749,李蓉蓉,5.5,,
16,操作系统课程设计,20202021750,蒋晶珏,5.5,,
17,操作系统课程设计,20202021817,曾平,5.5,,
18,汉语综合Ⅳ,20202054050,罗曦,2,,
19,机器学习与模式识别,20202021695,梁超,3,,
20,计算机接口与通信,20202021668,熊小兵,3,,
21,计算机接口与通信,20202021697,蔡朝晖,3,,
22,计算机接口与通信,20202021823,傅佑铭,3,,
23,计算机图形学,20202021591,何发智,3,,
24,计算机网络,20202021655, 张沪寅,5,,
25,计算机网络,20202021658,吕慧,5,,
26,计算机网络,20202021656,牛晓光,5,,
27,计算机网络,20202021657,徐武平,5,,
28,计算机网络,20202021659,胡启平,5,,
29,计算机网络,20202021591,黄传河,5,,
30,计算机网络,20202021693,张健,5,,
31,计算机网络,20202021760,傅佑铭,5,,
32,计算机网络,20202021759,钱铁云,5,,
33,计算机网络,20202021762,胡继承,5,,
34,计算机网络,20202021761,周浩,5,,
35,计算机网络,20202021820,李宗鹏,5,,
36,计算机网络,20202021800,李宗鹏,5,,
37,计算机系统基础2,20202021592,蔡朝晖,5,,
38,计算机组成与设计课程设计,20202021652, 徐爱萍,6,,
39,计算机组成与设计课程设计,20202021653,蔡朝晖,6,,
40,计算机组成与设计课程设计,20202021650,徐爱萍,6,,
41,计算机组成与设计课程设计,20202021654,冯晶,6,,
42,计算机组成与设计课程设计,20202021651,徐爱萍,6,,
43,计算机组成与设计课程设计,20202021691,龚奕利,6,,
44,科技写作,20202021696,刘华俊,3,,
45,量子计算,20202021596,梁超,2,,
46,人工智能引论,20202021798,谢榕,2,,
47,软件工程概论,20202021758,杜卓敏,2,,
48,软件工程概论,20202021757,马于涛,2,,
49,软件工程概论,20202021756,李晓剑,2,,
50,软件工程概论,20202021755,李小红,2,,
51,软件工程概论,20202021818,邓娟,2,,
52,软件构造基础,20202021676,何政,2.5,,
53,软件构造基础,20202021674,何政,2.5,,
54,软件构造基础,20202021675,何政,2.5,,
55,软件构造基础,20202021699,贾向阳,2.5,,
56,软件构造基础,20202021781,叶刚,2.5,,
57,软件构造基础,20202021780,贾向阳,2.5,,
58,软件构造基础,20202021779,贾向阳,2.5,,
59,软件构造基础,20202021825,叶刚,2.5,,
60,软件体系结构,20202021801,梁鹏,2.5,,
61,软件需求与建模,20202021752,王?,2.5,,
62,软件需求与建模,20202021753,李晓剑,2.5,,
63,软件需求与建模,20202021754,李晓剑,2.5,,
64,软件需求与建模,20202021821,李晓剑,2.5,,
65,软件需求与建模,20202021799,王?,2.5,,
66,数据库系统,20202021660,刘斌,3,,
67,数据库系统,20202021664,谭小琼,3,,
68,数据库系统,20202021663,安扬,3,,
69,数据库系统,20202021661,曾慧,3,,
70,数据库系统,20202021662,方颖,3,,
